Pressure (atm),Temperature (K),W1_Energy_1_P1->P2,W1_Energy_1_P1->W1
1.0,200.0,0.0,0.0
1.0,210.0,0.0,0.0
1.0,220.0,0.0,0.0
1.0,230.0,0.0,0.0
1.0,240.0,0.0,0.0
1.0,250.0,0.0,0.0
1.0,260.0,0.0,0.0
1.0,270.0,0.0,0.0
1.0,280.0,0.0,0.0
1.0,290.0,0.0,0.0
1.0,300.0,0.0,0.0
1.0,310.0,0.0,0.0
1.0,320.0,0.0,0.0
1.0,330.0,0.0,0.0
1.0,340.0,0.0,0.0
1.0,350.0,0.0,0.0
1.0,360.0,0.0,0.0
1.0,370.0,0.0,0.0
1.0,380.0,0.0,0.0
1.0,390.0,0.0,0.0
1.0,400.0,0.0,0.0
1.0,410.0,0.0,0.0
1.0,420.0,0.0,0.0
1.0,430.0,0.0,0.0
1.0,440.0,0.0,0.0
1.0,450.0,0.0,0.0
1.0,460.0,0.0,0.0
1.0,470.0,0.0,0.0
1.0,480.0,0.0,0.0
1.0,490.0,0.0,0.0
1.0,500.0,0.0,0.0
1.0,510.0,0.0,0.0
1.0,520.0,0.0,0.0
1.0,530.0,0.0,0.0
1.0,540.0,0.0,0.0
1.0,550.0,0.0,0.0
1.0,560.0,0.0,0.0
1.0,570.0,0.0,0.0
1.0,580.0,0.0,0.0
1.0,590.0,0.0,0.0
1.0,600.0,0.0,0.0
1.0,610.0,0.0,0.0
1.0,620.0,0.0,0.0
1.0,630.0,0.0,0.0
1.0,640.0,0.0,0.0
1.0,650.0,0.0,0.0
1.0,660.0,0.0,0.0
1.0,670.0,0.0,0.0
1.0,680.0,0.0,0.0
1.0,690.0,0.0,0.0
1.0,700.0,0.0,0.0
1.0,800.0,0.0,0.0
1.0,900.0,0.0,0.0
1.0,1000.0,0.0,0.0
1.0,1100.0,0.0,0.0
1.0,1200.0,0.0,0.0
1.0,1300.0,0.0,0.0
1.0,1400.0,0.0,0.0
1.0,1500.0,0.0,0.0
1.0,1600.0,0.0,0.0
1.0,1700.0,0.0,0.0
1.0,1800.0,0.0,0.0
1.0,1900.0,0.0,0.0
1.0,2000.0,0.0,0.0
1.0,2100.0,0.0,0.0
1.0,2200.0,0.0,0.0
1.0,2300.0,0.0,0.0
1.0,2400.0,0.0,0.0
1.0,2500.0,0.0,0.0
1.0,2600.0,0.0,0.0
1.0,2700.0,0.0,0.0
1.0,2800.0,0.0,0.0
1.0,2900.0,0.0,0.0
1.0,3000.0,0.0,0.0
1.0,3100.0,0.0,0.0
1.0,3200.0,0.0,0.0
1.0,3300.0,0.0,0.0
1.0,3400.0,0.0,0.0
1.0,3500.0,0.0,0.0
1.0,3600.0,0.0,0.0
1.0,3700.0,0.0,0.0
1.0,3800.0,0.0,0.0
1.0,3900.0,0.0,0.0
1.0,4000.0,0.0,0.0
5.0,200.0,0.0,0.0
5.0,210.0,0.0,0.0
5.0,220.0,0.0,0.0
5.0,230.0,0.0,0.0
5.0,240.0,0.0,0.0
5.0,250.0,0.0,0.0
5.0,260.0,0.0,0.0
5.0,270.0,0.0,0.0
5.0,280.0,0.0,0.0
5.0,290.0,0.0,0.0
5.0,300.0,0.0,0.0
5.0,310.0,0.0,0.0
5.0,320.0,0.0,0.0
5.0,330.0,0.0,0.0
5.0,340.0,0.0,0.0
5.0,350.0,0.0,0.0
5.0,360.0,0.0,0.0
5.0,370.0,0.0,0.0
5.0,380.0,0.0,0.0
5.0,390.0,0.0,0.0
5.0,400.0,0.0,0.0
5.0,410.0,0.0,0.0
5.0,420.0,0.0,0.0
5.0,430.0,0.0,0.0
5.0,440.0,0.0,0.0
5.0,450.0,0.0,0.0
5.0,460.0,0.0,0.0
5.0,470.0,0.0,0.0
5.0,480.0,0.0,0.0
5.0,490.0,0.0,0.0
5.0,500.0,0.0,0.0
5.0,510.0,0.0,0.0
5.0,520.0,0.0,0.0
5.0,530.0,0.0,0.0
5.0,540.0,0.0,0.0
5.0,550.0,0.0,0.0
5.0,560.0,0.0,0.0
5.0,570.0,0.0,0.0
5.0,580.0,0.0,0.0
5.0,590.0,0.0,0.0
5.0,600.0,0.0,0.0
5.0,610.0,0.0,0.0
5.0,620.0,0.0,0.0
5.0,630.0,0.0,0.0
5.0,640.0,0.0,0.0
5.0,650.0,0.0,0.0
5.0,660.0,0.0,0.0
5.0,670.0,0.0,0.0
5.0,680.0,0.0,0.0
5.0,690.0,0.0,0.0
5.0,700.0,0.0,0.0
5.0,800.0,0.0,0.0
5.0,900.0,0.0,0.0
5.0,1000.0,0.0,0.0
5.0,1100.0,0.0,0.0
5.0,1200.0,0.0,0.0
5.0,1300.0,0.0,0.0
5.0,1400.0,0.0,0.0
5.0,1500.0,0.0,0.0
5.0,1600.0,0.0,0.0
5.0,1700.0,0.0,0.0
5.0,1800.0,0.0,0.0
5.0,1900.0,0.0,0.0
5.0,2000.0,0.0,0.0
5.0,2100.0,0.0,0.0
5.0,2200.0,0.0,0.0
5.0,2300.0,0.0,0.0
5.0,2400.0,0.0,0.0
5.0,2500.0,0.0,0.0
5.0,2600.0,0.0,0.0
5.0,2700.0,0.0,0.0
5.0,2800.0,0.0,0.0
5.0,2900.0,0.0,0.0
5.0,3000.0,0.0,0.0
5.0,3100.0,0.0,0.0
5.0,3200.0,0.0,0.0
5.0,3300.0,0.0,0.0
5.0,3400.0,0.0,0.0
5.0,3500.0,0.0,0.0
5.0,3600.0,0.0,0.0
5.0,3700.0,0.0,0.0
5.0,3800.0,0.0,0.0
5.0,3900.0,0.0,0.0
5.0,4000.0,0.0,0.0
10.0,200.0,0.0,0.0
10.0,210.0,0.0,0.0
10.0,220.0,0.0,0.0
10.0,230.0,0.0,0.0
10.0,240.0,0.0,0.0
10.0,250.0,0.0,0.0
10.0,260.0,0.0,0.0
10.0,270.0,0.0,0.0
10.0,280.0,0.0,0.0
10.0,290.0,0.0,0.0
10.0,300.0,0.0,0.0
10.0,310.0,0.0,0.0
10.0,320.0,0.0,0.0
10.0,330.0,0.0,0.0
10.0,340.0,0.0,0.0
10.0,350.0,0.0,0.0
10.0,360.0,0.0,0.0
10.0,370.0,0.0,0.0
10.0,380.0,0.0,0.0
10.0,390.0,0.0,0.0
10.0,400.0,0.0,0.0
10.0,410.0,0.0,0.0
10.0,420.0,0.0,0.0
10.0,430.0,0.0,0.0
10.0,440.0,0.0,0.0
10.0,450.0,0.0,0.0
10.0,460.0,0.0,0.0
10.0,470.0,0.0,0.0
10.0,480.0,0.0,0.0
10.0,490.0,0.0,0.0
10.0,500.0,0.0,0.0
10.0,510.0,0.0,0.0
10.0,520.0,0.0,0.0
10.0,530.0,0.0,0.0
10.0,540.0,0.0,0.0
10.0,550.0,0.0,0.0
10.0,560.0,0.0,0.0
10.0,570.0,0.0,0.0
10.0,580.0,0.0,0.0
10.0,590.0,0.0,0.0
10.0,600.0,0.0,0.0
10.0,610.0,0.0,0.0
10.0,620.0,0.0,0.0
10.0,630.0,0.0,0.0
10.0,640.0,0.0,0.0
10.0,650.0,0.0,0.0
10.0,660.0,0.0,0.0
10.0,670.0,0.0,0.0
10.0,680.0,0.0,0.0
10.0,690.0,0.0,0.0
10.0,700.0,0.0,0.0
10.0,800.0,0.0,0.0
10.0,900.0,0.0,0.0
10.0,1000.0,0.0,0.0
10.0,1100.0,0.0,0.0
10.0,1200.0,0.0,0.0
10.0,1300.0,0.0,0.0
10.0,1400.0,0.0,0.0
10.0,1500.0,0.0,0.0
10.0,1600.0,0.0,0.0
10.0,1700.0,0.0,0.0
10.0,1800.0,0.0,0.0
10.0,1900.0,0.0,0.0
10.0,2000.0,0.0,0.0
10.0,2100.0,0.0,0.0
10.0,2200.0,0.0,0.0
10.0,2300.0,0.0,0.0
10.0,2400.0,0.0,0.0
10.0,2500.0,0.0,0.0
10.0,2600.0,0.0,0.0
10.0,2700.0,0.0,0.0
10.0,2800.0,0.0,0.0
10.0,2900.0,0.0,0.0
10.0,3000.0,0.0,0.0
10.0,3100.0,0.0,0.0
10.0,3200.0,0.0,0.0
10.0,3300.0,0.0,0.0
10.0,3400.0,0.0,0.0
10.0,3500.0,0.0,0.0
10.0,3600.0,0.0,0.0
10.0,3700.0,0.0,0.0
10.0,3800.0,0.0,0.0
10.0,3900.0,0.0,0.0
10.0,4000.0,0.0,0.0
